"","Reaction","Stimulus","Readout","drugScore"
"79","SGK=MKO3","IL1A","MKO3","-0.141090242785158"
"80","SGK=MKO3","LPS","MK12","-0.141090242785158"
"81","SGK=MKO3","LPS","MP2K1","-0.141090242785158"
"82","SGK=MKO3","LPS","MKO3","-0.141090242785158"
"83","SGK=MKO3","POLYIC","MK12","-0.141090242785158"
"84","SGK=MKO3","POLYIC","MP2K1","-0.141090242785158"
"85","SGK=MKO3","POLYIC","MKO3","-0.141090242785158"
"86","SGK=MKO3","CONA","MK12","-0.141090242785158"
"87","SGK=MKO3","CONA","MP2K1","-0.141090242785158"
"88","SGK=MKO3","CONA","MKO3","-0.141090242785158"
"89","SGK=MKO3","TNFA","MK12","-0.141090242785158"
"90","SGK=MKO3","TNFA","MP2K1","-0.141090242785158"
"91","SGK=MKO3","TNFA","MKO3","-0.141090242785158"
"92","TAK1=MAP2K4","IL1A","MK12","-0.360207665292411"
"93","TAK1=MAP2K4","IL1A","MP2K1","-0.360207665292411"
"94","TAK1=MAP2K4","IL1A","MKO3","-0.360207665292411"
"95","TAK1=MAP2K4","LPS","MK12","-0.360207665292411"
"96","TAK1=MAP2K4","LPS","MP2K1","-0.360207665292411"
"97","TAK1=MAP2K4","LPS","MKO3","-0.360207665292411"
"98","TAK1=MAP2K4","POLYIC","MK12","-0.360207665292411"
"99","TAK1=MAP2K4","POLYIC","MP2K1","-0.360207665292411"
"100","TAK1=MAP2K4","POLYIC","MKO3","-0.360207665292411"
"101","ZAP70=GRB2","BDNF","MK12","-0.066575049625897"
"102","ZAP70=GRB2","BDNF","MP2K1","-0.066575049625897"
"103","ZAP70=GRB2","BDNF","MKO3","-0.066575049625897"
"104","ZAP70=GRB2","IL1A","MK12","-0.066575049625897"
"105","ZAP70=GRB2","IL1A","MP2K1","-0.066575049625897"
"106","ZAP70=GRB2","IL1A","MKO3","-0.066575049625897"
"107","ZAP70=GRB2","LPS","MK12","-0.066575049625897"
"108","ZAP70=GRB2","LPS","MP2K1","-0.066575049625897"
"109","ZAP70=GRB2","LPS","MKO3","-0.066575049625897"
"110","ZAP70=GRB2","POLYIC","MK12","-0.066575049625897"
"111","ZAP70=GRB2","POLYIC","MP2K1","-0.066575049625897"
"112","ZAP70=GRB2","POLYIC","MKO3","-0.066575049625897"
"113","ZAP70=GRB2","CONA","MK12","-0.066575049625897"
"114","ZAP70=GRB2","CONA","MP2K1","-0.066575049625897"
"115","ZAP70=GRB2","CONA","MKO3","-0.066575049625897"
"116","ZAP70=GRB2","TNFA","MK12","-0.066575049625897"
"117","ZAP70=GRB2","TNFA","MP2K1","-0.066575049625897"
"118","ZAP70=GRB2","TNFA","MKO3","-0.066575049625897"
"119","BDNF=GRB2","BDNF","MK12","-0.228126431516262"
"120","BDNF=GRB2","BDNF","MP2K1","-0.228126431516262"
"121","BDNF=GRB2","BDNF","MKO3","-0.228126431516262"
"122","MKO3=ZAP70","BDNF","MK12","-0.259887005649717"
"123","MKO3=ZAP70","BDNF","MP2K1","-0.259887005649717"
"124","MKO3=ZAP70","BDNF","MKO3","-0.259887005649717"
"125","MKO3=ZAP70","IL1A","MK12","-0.259887005649717"
"126","MKO3=ZAP70","IL1A","MP2K1","-0.259887005649717"
"127","MKO3=ZAP70","IL1A","MKO3","-0.259887005649717"
"128","MKO3=ZAP70","LPS","MK12","-0.259887005649717"
"129","MKO3=ZAP70","LPS","MP2K1","-0.259887005649717"
"130","MKO3=ZAP70","LPS","MKO3","-0.259887005649717"
"131","MKO3=ZAP70","POLYIC","MK12","-0.259887005649717"
"132","MKO3=ZAP70","POLYIC","MP2K1","-0.259887005649717"
"133","MKO3=ZAP70","POLYIC","MKO3","-0.259887005649717"
"134","MKO3=ZAP70","CONA","MK12","-0.259887005649717"
"135","MKO3=ZAP70","CONA","MP2K1","-0.259887005649717"
"136","MKO3=ZAP70","CONA","MKO3","-0.259887005649717"
"137","MKO3=ZAP70","TNFA","MK12","-0.259887005649717"
"138","MKO3=ZAP70","TNFA","MP2K1","-0.259887005649717"
"139","MKO3=ZAP70","TNFA","MKO3","-0.259887005649717"
"140","GRB2=RAS","BDNF","MK12","-0.278973889143381"
"141","GRB2=RAS","BDNF","MP2K1","-0.278973889143381"
"142","GRB2=RAS","BDNF","MKO3","-0.278973889143381"
"143","GRB2=RAS","IL1A","MK12","-0.278973889143381"
"144","GRB2=RAS","IL1A","MP2K1","-0.278973889143381"
"145","GRB2=RAS","IL1A","MKO3","-0.278973889143381"
"146","GRB2=RAS","LPS","MK12","-0.278973889143381"
"147","GRB2=RAS","LPS","MP2K1","-0.278973889143381"
"148","GRB2=RAS","LPS","MKO3","-0.278973889143381"
"149","GRB2=RAS","POLYIC","MK12","-0.278973889143381"
"150","GRB2=RAS","POLYIC","MP2K1","-0.278973889143381"
"151","GRB2=RAS","POLYIC","MKO3","-0.278973889143381"
"152","GRB2=RAS","CONA","MK12","-0.278973889143381"
"153","GRB2=RAS","CONA","MP2K1","-0.278973889143381"
"154","GRB2=RAS","CONA","MKO3","-0.278973889143381"
"155","GRB2=RAS","TNFA","MK12","-0.278973889143381"
"156","GRB2=RAS","TNFA","MP2K1","-0.278973889143381"
"157","GRB2=RAS","TNFA","MKO3","-0.278973889143381"
"158","CONA=GRB2","CONA","MK12","-0.327683615819209"
"159","CONA=GRB2","CONA","MP2K1","-0.327683615819209"
"160","CONA=GRB2","CONA","MKO3","-0.327683615819209"
"161","TNFA=MAP3K1","TNFA","MK12","-0.146892655367232"
"162","TNFA=MAP3K1","TNFA","MP2K1","-0.146892655367232"
"163","TNFA=MAP3K1","TNFA","MKO3","-0.146892655367232"
"164","IL1R1=TAK1","IL1A","MK12","-0.147503435639029"
"165","IL1R1=TAK1","IL1A","MP2K1","-0.147503435639029"
"166","IL1R1=TAK1","IL1A","MKO3","-0.147503435639029"
"167","POLYIC=TAK1","POLYIC","MK12","-0.212093449381585"
"168","POLYIC=TAK1","POLYIC","MP2K1","-0.212093449381585"
"169","POLYIC=TAK1","POLYIC","MKO3","-0.212093449381585"
"170","LPS=TAK1","LPS","MK12","-0.186440677966102"
"171","LPS=TAK1","LPS","MP2K1","-0.186440677966102"
"172","LPS=TAK1","LPS","MKO3","-0.186440677966102"
